run_id	backbone	variant	tf_latft	train_cities	probe_acc	cka_off_diag	mmd_mean	rank_mean	rank_std	in_dist_pdms	ood_pdms	pdms_drop	total_pdms
A9-k	ijepa	ViT-S/14 rect trainable	LatTF	LV,B,P,S	0.9046920821114369	0.8125986437456674	0.09313044945398967	37.910397956291774	6.375255210158549	73.575	73.575	0.0	75.9
A9-l	dinov2	ViT-S/14 rect frozen	LatTF	LV,B,P,S	0.8914956011730205	0.8082465124023415	0.07581847906112671	45.811464140720325	7.03628903105261	76.25	76.25	0.0	77.7
A9-m	dinov2	ViT-S/14 rect trainable	LatTF	LV,B,P,S	0.9310850439882697	0.8099386427266205	0.11101911465326945	34.35900083124662	4.190309025257894	77.05	77.05	0.0	79.0
A9-n	mae	ViT-S/14 rect frozen	LatTF	LV,B,P,S	0.9633431085043989	0.6977870881578491	0.14935938517252603	44.388030816157304	8.222351469997179	77.75	77.75	0.0	79.8
A9-o	mae	ViT-S/14 rect trainable	LatTF	LV,B,P,S	0.9706744868035191	0.738161760231964	0.18830817937850952	23.91108388539615	3.3426152801525935	79.0	79.0	0.0	80.3
A9-p	ijepa	ViT-S/14 sq frozen	LatTF	LV,B,P,S	0.9237536656891495	0.6040983452552585	0.10070747137069702	118.62784018426424	10.17921156243666	71.775	71.775	0.0	74.0
A9-q	ijepa	ViT-S/14 sq trainable	LatTF	LV,B,P,S	0.9501466275659824	0.6021546888231324	0.1507788896560669	85.3325353465992	7.621757156906531	76.675	76.675	0.0	78.5
A9-r	dinov2	ViT-S/14 sq frozen	LatTF	LV,B,P,S	0.8841642228739003	0.7271204421361191	0.04810088872909546	92.45759685956283	7.056633243938488	73.225	73.225	0.0	75.5
A9-s	dinov2	ViT-S/14 sq trainable	LatTF	LV,B,P,S	0.8900293255131965	0.7188287601455768	0.050979216893514	88.5649307126623	5.5985821724413	75.525	75.525	0.0	77.0
A9-t	mae	ViT-S/14 sq frozen	LatTF	LV,B,P,S	0.9457478005865103	0.6260423884229974	0.10317095120747884	104.85194174084464	9.057359671590751	74.9	74.9	0.0	76.7
A9-u	mae	ViT-S/14 sq trainable	LatTF	LV,B,P,S	0.9706744868035191	0.5373934710480993	0.14139852921168009	93.52501750410457	7.742306267678074	79.975	79.975	0.0	81.4
F1-B1	resnet34	supervised	LatTF	B	0.967741935483871	0.8268823602164813	0.09989605347315471	54.984817203327765	4.862159852440531	71.7	55.6	16.1	62.6
F1-B2	resnet34	supervised	LatTF	LV	0.9912023460410557	0.7186029291961171	0.11657204230626424	65.88838102896734	10.34659882957867	86.9	52.53333333333334	34.36666666666667	65.5
F1-B3	resnet34	supervised	LatTF	P	0.9618768328445748	0.7602653331208579	0.09465823570887248	66.16769045412066	8.703920945290605	53.0	57.23333333333333	-4.233333333333327	58.3
F1-B4	resnet34	supervised	LatTF	S	0.9545454545454546	0.8040828978832303	0.0673292875289917	59.82184147299508	3.2220456747209254	45.5	48.36666666666667	-2.866666666666667	48.5
F1-D1	dinov2	ViT-S/14 frozen	LatTF	B	0.8123167155425219	0.9311699510384511	0.09862393140792847	8.769303805675612	1.0119250734905192	63.6	57.333333333333336	6.266666666666666	61.5
F1-D1-b	dinov2	ViT-S/14 trainable	LatTF	B	0.5645161290322581	0.8576977150562802	0.02666620413462321	105.44084717789407	9.233870285707795	61.1	51.13333333333333	9.966666666666669	56.7
F1-D1-c	dinov2	ViT-S/14 rect frozen	LatTF	B	0.8167155425219942	0.897706909777912	0.08915887276331584	30.607165433643388	5.198786550422493	69.7	60.300000000000004	9.399999999999999	65.3
F1-D1-d	dinov2	ViT-S/14 rect trainable	LatTF	B	0.8064516129032258	0.9166413273883381	0.0332377552986145	33.50080914611906	2.8749588428812993	68.2	56.46666666666667	11.733333333333334	62.2
F1-D1-e	dinov2	ViT-S/14 sq frozen	LatTF	B	0.7639296187683284	0.7009667458699452	0.040880044301350914	125.75022309830096	12.067566583554445	67.6	54.9	12.699999999999996	60.8
F1-D1-f	dinov2	ViT-S/14 sq trainable	LatTF	B	0.7639296187683284	0.7247836059550293	0.035276055335998535	115.19018286179049	10.281942993357392	68.0	57.86666666666667	10.133333333333333	62.5
F1-D2	dinov2	ViT-S/14 frozen	LatTF	LV	0.841642228739003	0.9147981934403734	0.0348241925239563	31.526221086155914	3.3442635536246907	88.0	52.46666666666667	35.53333333333333	65.4
F1-D2-b	dinov2	ViT-S/14 trainable	LatTF	LV	0.7390029325513197	0.8727717653838777	0.06797124942143758	12.120121875066731	1.5499989033429433	86.1	53.300000000000004	32.79999999999999	64.8
F1-D2-c	dinov2	ViT-S/14 rect frozen	LatTF	LV	0.8401759530791789	0.8171372901882177	0.057891388734181724	43.579644918828116	5.170362232572159	86.7	53.43333333333334	33.266666666666666	65.4
F1-D2-d	dinov2	ViT-S/14 rect trainable	LatTF	LV	0.8709677419354839	0.7816138913588296	0.05446090300877889	46.10918369582463	2.842784784701899	87.0	55.93333333333334	31.066666666666663	67.3
F1-D2-e	dinov2	ViT-S/14 sq frozen	LatTF	LV	0.8299120234604106	0.7102892423327627	0.04131366809209188	105.93707236979333	9.241404683534746	85.5	49.5	36.0	62.3
F1-D2-f	dinov2	ViT-S/14 sq trainable	LatTF	LV	0.8269794721407625	0.7509576958917785	0.03216759363810221	97.46661704856697	6.8447582338640816	85.8	50.166666666666664	35.63333333333333	62.9
F1-D3	dinov2	ViT-S/14 frozen	LatTF	P	0.7258064516129032	0.9002892417702394	0.1785224179426829	5.210621785022366	1.2562885939635005	52.5	51.46666666666666	1.0333333333333385	54.4
F1-D3-b	dinov2	ViT-S/14 trainable	LatTF	P	0.592375366568915	0.8515707485749798	0.03246877590815226	101.62951812377923	10.828401583427663	61.3	53.833333333333336	7.4666666666666615	58.3
F1-D3-c	dinov2	ViT-S/14 rect frozen	LatTF	P	0.7683284457478006	0.87971924433559	0.07813940445582072	36.33315022948663	5.264868040389365	59.7	58.46666666666667	1.2333333333333343	60.1
F1-D3-d	dinov2	ViT-S/14 rect trainable	LatTF	P	0.7859237536656891	0.9188113916486508	0.15264312426249185	20.88880333264113	2.718865192376059	63.4	60.73333333333333	2.6666666666666714	62.8
F1-D3-e	dinov2	ViT-S/14 sq frozen	LatTF	P	0.7360703812316716	0.7314968239625	0.04111156860987345	110.10593289795219	14.774136419367473	59.8	56.86666666666667	2.93333333333333	58.9
F1-D3-f	dinov2	ViT-S/14 sq trainable	LatTF	P	0.7404692082111437	0.6988322099435985	0.03252530097961426	128.40592021438778	11.30471451780604	65.7	57.699999999999996	8.000000000000007	61.0
F1-D4	dinov2	ViT-S/14 frozen	LatTF	S	0.6055718475073314	0.82139298566248	0.02622075875600179	119.0227518973683	11.241048653489079	53.5	48.199999999999996	5.300000000000004	49.9
F1-D4-b	dinov2	ViT-S/14 trainable	LatTF	S	0.5645161290322581	0.8540390596580566	0.02844699223836263	105.62393385521705	10.777797589513426	46.6	50.6	-4.0	50.7
F1-D4-c	dinov2	ViT-S/14 rect frozen	LatTF	S	0.841642228739003	0.9111807660412162	0.11597120761871338	16.197636744359706	2.0389021427385146	53.9	49.93333333333334	3.9666666666666615	50.7
F1-D4-d	dinov2	ViT-S/14 rect trainable	LatTF	S	0.7991202346041055	0.9524769364790888	0.11200742920239766	9.506257276919401	1.49717462777608	55.1	50.56666666666666	4.5333333333333385	51.8
F1-D4-e	dinov2	ViT-S/14 sq frozen	LatTF	S	0.7565982404692082	0.8041469903533328	0.054358720779418945	79.52526969504785	8.777070769804379	46.2	44.5	1.7000000000000028	45.2
F1-D4-f	dinov2	ViT-S/14 sq trainable	LatTF	S	0.7697947214076246	0.8123795856351431	0.050668040911356606	64.10271170736266	7.754667846849006	45.9	46.6	-0.7000000000000028	46.3
F1-I1	ijepa	ViT-H/14 frozen	LatTF	B	0.8328445747800587	0.7907988225432381	0.0853035847345988	40.24285727494514	4.975290003572059	67.5	57.93333333333334	9.566666666666663	63.1
F1-I1-b	ijepa	ViT-H/14 trainable	LatTF	B	0.7727272727272727	0.937971429301044	0.05550499757130941	5.461662814433377	0.24615923452822716	68.2	60.03333333333334	8.166666666666664	64.5
F1-I1-c	ijepa	ViT-S/14 rect frozen	LatTF	B	0.7932551319648093	0.8963604567141927	0.10623412330945332	24.63835761488926	5.168677097872188	68.1	55.13333333333333	12.966666666666661	61.0
F1-I1-d	ijepa	ViT-S/14 rect trainable	LatTF	B	0.8079178885630498	0.9069178761766743	0.11663665374120076	23.306370805533938	3.1292772908564843	69.4	56.56666666666666	12.833333333333343	62.5
F1-I1-e	ijepa	ViT-S/14 sq frozen	LatTF	B	0.8093841642228738	0.6642222150439524	0.032061596711476646	163.7970668427693	14.005949979881306	69.6	57.833333333333336	11.766666666666659	63.6
F1-I1-f	ijepa	ViT-S/14 sq trainable	LatTF	B	0.8225806451612904	0.7394706114738616	0.03936149676640829	128.14592541237022	16.969254482781082	62.5	57.0	5.5	60.6
F1-I2	ijepa	ViT-H/14 frozen	LatTF	LV	0.8651026392961877	0.7189556094478297	0.0875953237215678	50.17359139145706	4.84909836071502	85.9	52.4	33.50000000000001	64.3
F1-I2-b	ijepa	ViT-H/14 trainable	LatTF	LV	0.843108504398827	0.840030159060322	0.12896101673444113	7.208975693637672	0.9542589882082428	82.7	53.133333333333326	29.566666666666677	64.2
F1-I2-c	ijepa	ViT-S/14 rect frozen	LatTF	LV	0.7961876832844574	0.8084511282670551	0.06945747137069702	44.04395301344635	7.74931471017299	86.4	50.93333333333334	35.46666666666667	63.8
F1-I2-d	ijepa	ViT-S/14 rect trainable	LatTF	LV	0.8592375366568915	0.7890954502563238	0.08412810166676839	40.34089226793424	6.5120962941690275	86.6	53.53333333333334	33.066666666666656	65.6
