exp,city,n,n_total,score,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,two_frame_extended_comfort
DD-CC-IJSr-pit,pittsburgh,2438,2438,0.5776241848206248,0.9318834632745179,0.8428395568321707,0.9271645465736562,0.9950759130077965,0.8769338434505036,0.9228559704554781,0.8846942962659007,0.44439885104636845,0.004103796395294922
DD-CC-IJSr-pit,singapore,1915,1915,0.4321802560777396,0.9670846394984326,0.6410658307210031,0.9195402298850575,0.9984326018808778,0.7222223471029852,0.9602925809822361,0.7920585161964472,0.5036572622779519,0.005225104613129701
DD-CC-IJSr-pit,vegas,4065,4065,0.6208310496794186,0.890625,0.8769685039370079,0.9812992125984252,0.9953248031496064,0.916128214223089,0.8649114173228346,0.9124015748031495,0.5253444881889764,0.0031989632651131406
DD-CC-IJSr-sin,boston,3732,3732,0.4746942531963702,0.7657464486732779,0.8689359421066739,0.9446529080675422,0.9812382739212007,0.8662801996482835,0.7456445993031359,0.9021709997319753,0.5213079603323505,0.0013402134852703214
DD-CC-IJSr-sin,pittsburgh,2438,2438,0.4276751971664121,0.8754616331555192,0.7624128026261797,0.8354534263438654,0.9909725071809603,0.8138319370287714,0.8563807960607305,0.8013951579811244,0.49240869922035285,0.0016415185581179687
DD-CC-IJSr-sin,singapore,1915,1915,0.47562692765102393,0.9610762800417973,0.6901776384535004,0.9811912225705329,0.9984326018808778,0.727332674274935,0.9555903866248694,0.8620689655172413,0.48171368861024033,0.0026125523065648505
DD-CC-IJSr-sin,vegas,4065,4065,0.5338963250769372,0.7979822834645669,0.8604822834645669,0.9766240157480316,0.9891732283464567,0.9089390861515196,0.7669783464566929,0.9082185039370079,0.5282972440944882,0.003937185557062326
DD-CC-IJSr-veg,boston,3732,3732,0.6311910014641288,0.9155722326454034,0.8153310104529617,0.9631466094880728,0.9898150629857947,0.861169556055614,0.887161618868936,0.9300455641919056,0.9774859287054409,0.16323800250592516
DD-CC-IJSr-veg,pittsburgh,2438,2438,0.5218741899625761,0.9125974558883874,0.7295855560114896,0.8715633976200245,0.9942552318424293,0.8246742748466777,0.9015182601559295,0.8223225276979893,0.9589659417316372,0.1518404666259121
DD-CC-IJSr-veg,singapore,1915,1915,0.5019198155744755,0.9689132706374085,0.6635318704284221,0.9383490073145246,0.9979101358411704,0.6790687046911388,0.9613375130616509,0.7831765935214211,0.9848484848484849,0.2560301260433554
